"Site","gas","n","r2","label"
"BART","CO2",188,0.518532642227624,"R^2 == 0.52"
"BLAN","CO2",199,0.468916444092963,"R^2 == 0.47"
"BONA","CO2",69,0.571446777185526,"R^2 == 0.57"
"CLBJ","CO2",66,0.499842236269262,"R^2 == 0.50"
"CPER","CO2",775,0.640023656296818,"R^2 == 0.64"
"DCFS","CO2",3122,0.461906568267332,"R^2 == 0.46"
"DEJU","CO2",493,0.405660035066732,"R^2 == 0.41"
"DSNY","CO2",64,0.398678882009013,"R^2 == 0.40"
"GRSM","CO2",599,0.522658319938875,"R^2 == 0.52"
"HEAL","CO2",39,0.729667806864833,"R^2 == 0.73"
"JERC","CO2",75,0.443105139201071,"R^2 == 0.44"
"JORN","CO2",134,0.50849568589881,"R^2 == 0.51"
"KONA","CO2",4052,0.671704236990519,"R^2 == 0.67"
"KONZ","CO2",5925,0.760945377207088,"R^2 == 0.76"
"LAJA","CO2",2469,0.448104974064442,"R^2 == 0.45"
"LENO","CO2",117,0.659984076405594,"R^2 == 0.66"
"MLBS","CO2",121,0.317900179046254,"R^2 == 0.32"
"MOAB","CO2",1873,0.658155242154988,"R^2 == 0.66"
"NIWO","CO2",20,0.618773378338524,"R^2 == 0.62"
"NOGP","CO2",3003,0.66378594916004,"R^2 == 0.66"
"OAES","CO2",2448,0.579747563251403,"R^2 == 0.58"
"ONAQ","CO2",417,0.391728231751222,"R^2 == 0.39"
"ORNL","CO2",488,0.438964271619291,"R^2 == 0.44"
"RMNP","CO2",52,0.424950334904785,"R^2 == 0.42"
"SCBI","CO2",351,0.418133820131906,"R^2 == 0.42"
"SERC","CO2",600,0.437335750226008,"R^2 == 0.44"
"SJER","CO2",156,0.427474199036466,"R^2 == 0.43"
"SOAP","CO2",864,0.491556907539623,"R^2 == 0.49"
"SRER","CO2",380,0.600307694945581,"R^2 == 0.60"
"STEI","CO2",447,0.586800686931904,"R^2 == 0.59"
"STER","CO2",1655,0.735021836836788,"R^2 == 0.74"
"TALL","CO2",358,0.411172628679338,"R^2 == 0.41"
"TREE","CO2",441,0.312007314735542,"R^2 == 0.31"
"UKFS","CO2",691,0.321179022244048,"R^2 == 0.32"
"UNDE","CO2",565,0.574881925412562,"R^2 == 0.57"
"WOOD","CO2",2471,0.584288192588179,"R^2 == 0.58"
"WREF","CO2",131,0.550432157543262,"R^2 == 0.55"
"YELL","CO2",225,0.40095235424027,"R^2 == 0.40"
"ABBY","H2O",2735,0.258744641715491,"R^2 == 0.26"
"BARR","H2O",105,0.47635374352633,"R^2 == 0.48"
"BART","H2O",9145,0.402460006008531,"R^2 == 0.40"
"BLAN","H2O",4428,0.446933042692118,"R^2 == 0.45"
"BONA","H2O",7572,0.423563136831269,"R^2 == 0.42"
"CPER","H2O",8081,0.567934078514454,"R^2 == 0.57"
"DCFS","H2O",10340,0.7642171913469,"R^2 == 0.76"
"DEJU","H2O",4267,0.487235311526353,"R^2 == 0.49"
"DSNY","H2O",5412,0.552992676034738,"R^2 == 0.55"
"GRSM","H2O",1335,0.459856665299983,"R^2 == 0.46"
"GUAN","H2O",777,0.31525289611337,"R^2 == 0.32"
"HARV","H2O",5146,0.454936072728196,"R^2 == 0.45"
"HEAL","H2O",2664,0.457567068078977,"R^2 == 0.46"
"JERC","H2O",1697,0.522510566624274,"R^2 == 0.52"
"JORN","H2O",2342,0.614422125130878,"R^2 == 0.61"
"KONA","H2O",10664,0.687931629881151,"R^2 == 0.69"
"KONZ","H2O",12950,0.72989562185666,"R^2 == 0.73"
"LAJA","H2O",3578,0.437592125923396,"R^2 == 0.44"
"LENO","H2O",472,0.336863693350201,"R^2 == 0.34"
"MLBS","H2O",3541,0.511157374720666,"R^2 == 0.51"
"MOAB","H2O",7277,0.692409061678634,"R^2 == 0.69"
"NIWO","H2O",7409,0.5054090663375,"R^2 == 0.51"
"NOGP","H2O",15232,0.703673423241736,"R^2 == 0.70"
"OAES","H2O",11517,0.569299040628539,"R^2 == 0.57"
"ONAQ","H2O",6059,0.593317272920579,"R^2 == 0.59"
"ORNL","H2O",4616,0.414260554548503,"R^2 == 0.41"
"OSBS","H2O",2131,0.30263946964358,"R^2 == 0.30"
"RMNP","H2O",12,0.955004924882906,"R^2 == 0.96"
"SCBI","H2O",351,0.339368485962891,"R^2 == 0.34"
"SERC","H2O",600,0.397273289755546,"R^2 == 0.40"
"SJER","H2O",3738,0.439291198963478,"R^2 == 0.44"
"SOAP","H2O",1200,0.506671123568187,"R^2 == 0.51"
"SRER","H2O",3443,0.36803112033557,"R^2 == 0.37"
"STEI","H2O",7056,0.526166800978716,"R^2 == 0.53"
"STER","H2O",8076,0.666656336256479,"R^2 == 0.67"
"TALL","H2O",614,0.499880732908426,"R^2 == 0.50"
"TEAK","H2O",489,0.425403514392899,"R^2 == 0.43"
"TOOL","H2O",1778,0.402418963296034,"R^2 == 0.40"
"TREE","H2O",4565,0.351526906836209,"R^2 == 0.35"
"UKFS","H2O",9329,0.472871976962357,"R^2 == 0.47"
"UNDE","H2O",8724,0.477995793574669,"R^2 == 0.48"
"WOOD","H2O",9613,0.499686310983403,"R^2 == 0.50"
"WREF","H2O",255,0.449135070980022,"R^2 == 0.45"
"YELL","H2O",320,0.504823826955559,"R^2 == 0.50"
